BVB_ID,player_name,player_country,podium%,gender,isBlack_Challenge,isBlack_Elite16,isBlack,partners_count,duration_median,height_imputed,current_age,games_points_metric
16201,Josue Castillo,United States,0.0,M,False,False,False,7.0,46.5,75.096018735363,33.0,-0.07938055089650897
16202,Jacob Hillman,United States,0.0,M,False,False,False,2.0,34.0,75.096018735363,30.0,-0.5483906990782481
16203,David Vorobets,United States,0.0,M,False,False,False,1.0,44.0,75.096018735363,27.0,-0.6026818922659666
16204,Brett Scarmazzo,United States,0.0,M,False,False,False,3.0,44.0,76.0,37.0,-0.4857465408319057
16206,Mario Raden,United States,0.0,M,False,False,False,1.0,26.0,70.0,26.0,-0.6066467124081402
16207,Jared Williams,United States,0.0,M,False,False,False,1.0,31.0,75.096018735363,44.0,-0.5772015201318202
16208,Jesse Wolfson,United States,0.0,M,False,False,False,1.0,30.0,75.096018735363,40.0,-0.6066467124081402
16209,Peter Amadeo,United States,0.0,M,False,False,False,1.0,30.0,74.0,39.0,-0.6066467124081402
16210,Kristine Monforte,United States,0.0,W,False,False,False,8.0,39.0,68.0,30.0,-0.22681940654258148
16211,Christine Lynders,United States,0.0,W,False,False,False,1.0,30.0,70.00311958405545,50.0,-0.6026818922659666
16213,Lisa Jedlicka Dietrich,Virgin Islands,0.0,W,False,False,False,2.0,39.0,73.0,33.0,-0.3269439205738265
16214,Amanda Alles,United States,0.0,W,False,False,False,6.0,32.0,69.0,32.0,-0.38551711951509243
16215,Magdalena Kowalska,United States,0.0,W,False,False,False,2.0,34.0,71.0,31.0,-0.5737124784067076
16217,Lauren Teknipp,United States,0.0,W,False,False,False,2.0,41.0,70.00311958405545,29.0,-0.5425227652678312
16222,Kaitlyn Leary Malaney,United States,0.15,W,False,False,False,7.0,46.0,72.0,30.0,1.7562750256550648
16227,Joel Feldkamp,United States,0.0,M,False,False,False,3.0,49.0,75.096018735363,30.0,-0.3891641381072249
16228,Corey Partridge,United States,0.0,M,False,False,False,2.0,41.0,75.096018735363,37.0,-0.481887859852635
16229,Christopher  Patz,United States,0.0,M,False,False,False,1.0,48.0,75.096018735363,32.0,-0.4498521131038725
16230,Steve Slandzicki,United States,0.0,M,False,False,False,1.0,43.0,75.096018735363,43.0,-0.563879724454117
16232,Buddy Krueger,United States,0.0,M,False,False,False,3.0,39.0,75.096018735363,35.0,-0.19182285012855133
16233,Matthew Clayton,United States,0.0,M,False,False,False,2.0,61.0,75.096018735363,28.0,0.16004151610932307
16241,Esmée Böbner,Switzerland,0.11,W,False,False,False,1.0,39.0,72.0,23.0,1.5763191013951636
16248,Keiko Onoda,Japan,0.0,W,False,False,False,1.0,36.0,66.0,39.0,-0.6114044965787484
16249,Mai Tanaka Morioka,Japan,0.0,W,False,False,False,4.0,44.0,69.0,39.0,-0.3359837104979822
16250,Minori Kumada,Japan,0.06,W,False,False,False,5.0,34.0,69.0,31.0,0.35769691000603426
16251,Yuki Dogi,Japan,0.0,M,False,False,False,1.0,35.0,73.0,34.0,-0.6114044965787484
16252,Hideki Yoshida,Japan,0.0,M,False,False,False,5.0,37.0,70.0,36.0,-0.41231930367618574
16255,Tino Hanzic,Croatia,0.0,M,False,False,False,1.0,25.5,77.0,22.0,-0.5631398300071337
16262,Robin Sowa,Germany,0.1,M,False,False,False,3.0,46.0,80.0,23.0,0.7788651004517682
16263,Simon Kulzer,Germany,0.07,M,False,False,False,4.0,41.0,76.0,24.0,0.3008682319273247
16267,Kristaps Smits,Latvia,0.14,M,False,False,False,4.0,39.0,72.0,24.0,-0.022553720633801108
16268,Mihails Samoilovs,Latvia,0.11,M,False,False,False,4.0,34.0,79.0,24.0,0.5494343802042134
16270,Audrius Knasas,Lithuania,0.25,M,False,False,False,1.0,36.0,74.0,24.0,0.148198277448252
16278,Patrik Pokopec,Slovakia,0.0,M,False,False,False,1.0,35.0,78.0,24.0,-0.49272524022079844
16282,Katharina Holzer,Austria,0.17,W,False,False,False,2.0,42.5,73.0,24.0,-0.27196528658190877
16285,Ana Sutalo,Croatia,0.0,W,False,False,False,1.0,27.5,71.0,24.0,-0.5637742012298815
16286,Tania Moreno Matveeva,Spain,0.19,W,False,False,False,2.0,43.0,69.0,20.0,0.5129592667735511
16287,María Belén Carro Márquez de Acuña,Spain,0.13,W,False,False,False,2.0,38.0,75.0,23.0,1.482274183561474
16294,Chiara They,Italy,0.2,W,False,False,False,8.0,36.5,69.0,23.0,-0.07367305770778078
16296,Ieva Petrova,Latvia,0.0,W,False,False,False,2.0,39.0,70.00311958405545,23.0,-0.6120388678014962
20486,Eva Petrova,Bulgaria,0.0,W,False,False,False,3.0,28.0,70.00311958405545,23.0,-0.48162374382271245
16300,Emilie Olimstad,Norway,0.06,W,False,False,False,6.0,38.0,70.0,22.0,0.6387227457446294
16302,Mariana Nora,Portugal,0.0,W,False,False,False,1.0,39.0,70.00311958405545,23.0,-0.5863999028616629
16304,Tajda Lovsin,Slovenia,0.12,W,False,False,False,4.0,37.0,69.0,24.0,0.6283086901507426
16312,Amit Masuri,Israel,0.0,M,False,False,False,1.0,35.0,74.0,25.0,-0.5210602828573099
16315,Nathan Yang,United States,0.03,M,False,False,False,15.0,51.0,75.0,31.0,1.0778143869876569
16316,Nick Manov,United States,0.0,M,False,False,False,7.0,43.5,78.0,38.0,-0.32155176518047046
16317,Arthur Mueller,United States,0.0,M,False,False,False,1.0,43.0,75.096018735363,36.0,-0.6066467124081402
16318,Kristin Hildebrand,United States,0.0,W,False,False,False,4.0,55.0,72.0,37.0,-0.4975354780341909
16319,Kelly Reeves,United States,0.18,W,False,False,False,12.0,44.0,72.0,30.0,3.4694389591255295
16320,Roger Subervi,United States,0.0,M,False,False,False,3.0,33.0,75.096018735363,32.0,-0.494363621920452
16321,Gabriel Ospina Rodriguez,Virgin Islands,0.04,M,False,False,False,11.0,48.5,74.0,29.0,0.36034176593726264
16322,Benny Hammond,United States,0.0,M,False,False,False,1.0,37.5,75.096018735363,45.0,-0.5203728420531106
16323,Dan Glamack,United States,0.0,M,False,False,False,1.0,32.0,75.096018735363,29.0,-0.5748226280465161
