BVB_ID,player_name,player_country,podium%,gender,isBlack_Challenge,isBlack_Elite16,isBlack,partners_count,duration_median,height_imputed,current_age,games_points_metric
20523,Kora Schaberl,Austria,0.0,W,False,False,False,1.0,30.0,70.00311958405545,24.0,-0.577994484160255
20524,Elsa Descamps,France,0.0,W,False,False,False,3.0,34.0,70.00311958405545,26.0,-0.2893043560445696
20528,Emileta Racheva,Bulgaria,0.0,W,False,False,False,2.0,29.0,72.0,24.0,-0.5803733762455591
20529,Roberta Di Romano,Bulgaria,0.0,W,False,False,False,1.0,22.5,70.00311958405545,25.0,-0.5851311604161674
20532,Anna Licht,Canada,0.0,W,False,False,False,1.0,36.0,70.00311958405545,25.0,-0.4016405161137092
20534,Senna van Den Berg,Netherlands,0.0,W,False,False,False,2.0,39.0,70.00311958405545,20.0,-0.6090256044934443
20539,Jade Van Deun,Belgium,0.0,W,False,False,False,1.0,38.0,70.00311958405545,18.0,-0.5013947749521289
20540,Marion Beauve,Belgium,0.0,W,False,False,False,1.0,28.5,70.00311958405545,17.0,-0.5237032909725365
20542,Brackcides Khadambi,Kenya,0.0,W,False,False,False,1.0,27.5,71.0,38.0,-0.5449016573531353
20557,Annika Berndt,Germany,0.17,W,False,False,False,1.0,43.0,70.00311958405545,18.0,-0.474645660372487
20560,Lynn van Mill,Netherlands,0.0,W,False,False,False,1.0,37.0,70.00311958405545,20.0,-0.5502938127464914
20561,Jill Weeda,Netherlands,0.0,W,False,False,False,1.0,47.0,70.00311958405545,20.0,-0.5526727048317955
20590,Benitha Mukandayisenga,Rwanda,0.0,W,False,False,False,1.0,37.0,70.00311958405545,28.0,-0.6026818922659666
20596,Susan Reinders,Netherlands,0.0,W,False,False,False,1.0,35.5,70.00311958405545,22.0,-0.5843381963877327
20602,Ren Matsumoto,Japan,0.1,W,False,False,False,1.0,33.5,70.00311958405545,24.0,-0.2520350467081381
20603,Non Matsumoto,Japan,0.1,W,False,False,False,2.0,34.0,70.00311958405545,23.0,-0.2520350467081381
20608,Sarah Lutz,Switzerland,0.0,W,False,False,False,1.0,58.0,70.00311958405545,20.0,-0.6090256044934443
20609,Klara Ribom,Sweden,0.0,W,False,False,False,1.0,42.0,70.00311958405545,27.0,-0.5541000400829781
20613,Urszula Lunio,Poland,0.0,W,False,False,False,1.0,49.0,70.0,18.0,-0.4331474148639594
20622,Anique Tavenier,Netherlands,0.0,W,False,False,False,4.0,33.0,70.00311958405545,20.0,-0.4944166915019035
20623,Ashtyn McKenzie,Canada,0.0,W,False,False,False,1.0,39.0,70.00311958405545,27.0,-0.5811663402739938
20631,Eunice Xavier,Portugal,0.0,W,False,False,False,1.0,33.0,70.00311958405545,21.0,-0.6074396764365748
